SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,PONTE VILA FORMOSA (18K/01H),,
,Caudal médio diário (m3/s),FLAG,
17/02/1985 00:00,50.91,(vco),
18/02/1985 00:00,42.15,(vco),
19/02/1985 00:00,22.08,(vco),
20/02/1985 00:00,15.56,(vco),
21/02/1985 00:00,13.45,(vco),
22/02/1985 00:00,11.75,(vco),
23/02/1985 00:00,9.72,(vco),
24/02/1985 00:00,8.26,(vco),
25/02/1985 00:00,7.51,(vco),
26/02/1985 00:00,6.94,(vco),
27/02/1985 00:00,7.3,(vco),
28/02/1985 00:00,8.23,(vco),
01/03/1985 00:00,10.53,(vco),
02/03/1985 00:00,6.98,(vco),
03/03/1985 00:00,5.89,(vco),
04/03/1985 00:00,5.89,(vco),
05/03/1985 00:00,5.95,(vco),
06/03/1985 00:00,5.06,(vco),
07/03/1985 00:00,4.52,(vco),
08/03/1985 00:00,4.17,(vco),
09/03/1985 00:00,3.95,(vco),
10/03/1985 00:00,3.73,(vco),
11/03/1985 00:00,3.52,(vco),
12/03/1985 00:00,3.41,(vco),
13/03/1985 00:00,3.41,(vco),
14/03/1985 00:00,3.31,(vco),
15/03/1985 00:00,3.21,(vco),
16/03/1985 00:00,2.83,(vco),
17/03/1985 00:00,2.27,(vco),
18/03/1985 00:00,2.1,(vco),
19/03/1985 00:00,2.18,(vco),
20/03/1985 00:00,2.45,(vco),
21/03/1985 00:00,2.63,(vco),
22/03/1985 00:00,3.04,(vco),
23/03/1985 00:00,3.16,(vco),
24/03/1985 00:00,2.58,(vco),
25/03/1985 00:00,2.22,(vco),
26/03/1985 00:00,2.05,(vco),
27/03/1985 00:00,1.81,(vco),
28/03/1985 00:00,1.69,(vco),
29/03/1985 00:00,1.47,(vco),
30/03/1985 00:00,1.33,(vco),
31/03/1985 00:00,1.23,(vco),
01/04/1985 00:00,1.13,(vco),
02/04/1985 00:00,1.03,(vco),
03/04/1985 00:00,0.91,(vco),
04/04/1985 00:00,1.33,(vco),
05/04/1985 00:00,4.83,(vco),
06/04/1985 00:00,6.4,(vco),
07/04/1985 00:00,8.15,(vco),
08/04/1985 00:00,21.16,(vco),
09/04/1985 00:00,12.16,(vco),
10/04/1985 00:00,12.46,(vco),
11/04/1985 00:00,7.84,(vco),
12/04/1985 00:00,5.57,(vco),
13/04/1985 00:00,4.53,(vco),
14/04/1985 00:00,3.79,(vco),
15/04/1985 00:00,3.09,(vco),
16/04/1985 00:00,2.54,(vco),
17/04/1985 00:00,2.29,(vco),
18/04/1985 00:00,1.95,(vco),
19/04/1985 00:00,1.85,(vco),
20/04/1985 00:00,1.93,(vco),
21/04/1985 00:00,2.95,(vco),
22/04/1985 00:00,4.68,(vco),
23/04/1985 00:00,4.64,(vco),
24/04/1985 00:00,22.08,(vco),
25/04/1985 00:00,19.59,(vco),
26/04/1985 00:00,12,(vco),
27/04/1985 00:00,39.13,(vco),
28/04/1985 00:00,33.13,(vco),
29/04/1985 00:00,12.1,(vco),
30/04/1985 00:00,8.42,(vco),
01/05/1985 00:00,6.71,(vco),
02/05/1985 00:00,8.36,(vco),
03/05/1985 00:00,13.84,(vco),
04/05/1985 00:00,8.6,(vco),
05/05/1985 00:00,6.32,(vco),
06/05/1985 00:00,5.44,(vco),
07/05/1985 00:00,9.71,(vco),
08/05/1985 00:00,6.58,(vco),
09/05/1985 00:00,4.82,(vco),
10/05/1985 00:00,3.96,(vco),
11/05/1985 00:00,3.37,(vco),
12/05/1985 00:00,2.82,(vco),
13/05/1985 00:00,2.45,(vco),
14/05/1985 00:00,2.12,(vco),
15/05/1985 00:00,1.87,(vco),
16/05/1985 00:00,1.83,(vco),
17/05/1985 00:00,1.75,(vco),
18/05/1985 00:00,1.47,(vco),
19/05/1985 00:00,1.41,(vco),
20/05/1985 00:00,1.24,(vco),
21/05/1985 00:00,0.94,(vco),
22/05/1985 00:00,0.67,(vco),
23/05/1985 00:00,0.39,(vco),
24/05/1985 00:00,0.18,(vco),
25/05/1985 00:00,0.07,(vco),
26/05/1985 00:00,0.05,(vco),
27/05/1985 00:00,0.05,(vco),
28/05/1985 00:00,0.05,(vco),
29/05/1985 00:00,0.05,(vco),
30/05/1985 00:00,0.05,(vco),
31/05/1985 00:00,0.05,(vco),
01/06/1985 00:00,1.51,(vco),
02/06/1985 00:00,1.07,(vco),
03/06/1985 00:00,1.22,(vco),
04/06/1985 00:00,0.7,(vco),
05/06/1985 00:00,0.24,(vco),
06/06/1985 00:00,0.03,(vco),
07/06/1985 00:00,0,(vco),
08/06/1985 00:00,0,(vco),
09/06/1985 00:00,0,(vco),
10/06/1985 00:00,0,(vco),
11/06/1985 00:00,0,(vco),
12/06/1985 00:00,0,(vco),
13/06/1985 00:00,0,(vco),
14/06/1985 00:00,0,(vco),
15/06/1985 00:00,0,(vco),
16/06/1985 00:00,0,(vco),
17/06/1985 00:00,0,(vco),
18/06/1985 00:00,0,(vco),
19/06/1985 00:00,0,(vco),
20/06/1985 00:00,0,(vco),
21/06/1985 00:00,0,(vco),
22/06/1985 00:00,0,(vco),
23/06/1985 00:00,0,(vco),
24/06/1985 00:00,0,(vco),
25/06/1985 00:00,0,(vco),
26/06/1985 00:00,0,(vco),
27/06/1985 00:00,0,(vco),
28/06/1985 00:00,0,(vco),
29/06/1985 00:00,0,(vco),
30/06/1985 00:00,0,(vco),
01/07/1985 00:00,0,(vco),
02/07/1985 00:00,0,(vco),
03/07/1985 00:00,0,(vco),
04/07/1985 00:00,0,(vco),
05/07/1985 00:00,0,(vco),
06/07/1985 00:00,0,(vco),
07/07/1985 00:00,0,(vco),
08/07/1985 00:00,0,(vco),
09/07/1985 00:00,0,(vco),
10/07/1985 00:00,0,(vco),
11/07/1985 00:00,0,(vco),
12/07/1985 00:00,0,(vco),
13/07/1985 00:00,0,(vco),
14/07/1985 00:00,0,(vco),
15/07/1985 00:00,0,(vco),
16/07/1985 00:00,0,(vco),
17/07/1985 00:00,0,(vco),
18/07/1985 00:00,0,(vco),
19/07/1985 00:00,0,(vco),
20/07/1985 00:00,0,(vco),
21/07/1985 00:00,0,(vco),
22/07/1985 00:00,0,(vco),
23/07/1985 00:00,0,(vco),
24/07/1985 00:00,0,(vco),
25/07/1985 00:00,0,(vco),
26/07/1985 00:00,0,(vco),
27/07/1985 00:00,0,(vco),
28/07/1985 00:00,0,(vco),
29/07/1985 00:00,0,(vco),
30/07/1985 00:00,0,(vco),
31/07/1985 00:00,0,(vco),
01/08/1985 00:00,0,(vco),
02/08/1985 00:00,0,(vco),
03/08/1985 00:00,0,(vco),
04/08/1985 00:00,0,(vco),
05/08/1985 00:00,0,(vco),
06/08/1985 00:00,0,(vco),
07/08/1985 00:00,0,(vco),
08/08/1985 00:00,0,(vco),
09/08/1985 00:00,0,(vco),
10/08/1985 00:00,0,(vco),
11/08/1985 00:00,0,(vco),
12/08/1985 00:00,0,(vco),
13/08/1985 00:00,0,(vco),
14/08/1985 00:00,0,(vco),
15/08/1985 00:00,0,(vco),
16/08/1985 00:00,0,(vco),
17/08/1985 00:00,0,(vco),
18/08/1985 00:00,0,(vco),
19/08/1985 00:00,0,(vco),
20/08/1985 00:00,0,(vco),
21/08/1985 00:00,0,(vco),
22/08/1985 00:00,0,(vco),
23/08/1985 00:00,0,(vco),
24/08/1985 00:00,0,(vco),
25/08/1985 00:00,0,(vco),
26/08/1985 00:00,0,(vco),
27/08/1985 00:00,0,(vco),
28/08/1985 00:00,0,(vco),
29/08/1985 00:00,0,(vco),
30/08/1985 00:00,0,(vco),
31/08/1985 00:00,0,(vco),
01/09/1985 00:00,0,(vco),
02/09/1985 00:00,0,(vco),
03/09/1985 00:00,0,(vco),
04/09/1985 00:00,0,(vco),
05/09/1985 00:00,0,(vco),
06/09/1985 00:00,0,(vco),
07/09/1985 00:00,0,(vco),
08/09/1985 00:00,0,(vco),
09/09/1985 00:00,0,(vco),
10/09/1985 00:00,0,(vco),
11/09/1985 00:00,0,(vco),
12/09/1985 00:00,0,(vco),
13/09/1985 00:00,0,(vco),
14/09/1985 00:00,0,(vco),
15/09/1985 00:00,0,(vco),
16/09/1985 00:00,0,(vco),
17/09/1985 00:00,0,(vco),
18/09/1985 00:00,0,(vco),
19/09/1985 00:00,0,(vco),
20/09/1985 00:00,0,(vco),
21/09/1985 00:00,0,(vco),
22/09/1985 00:00,0,(vco),
23/09/1985 00:00,0,(vco),
24/09/1985 00:00,0,(vco),
25/09/1985 00:00,0,(vco),
26/09/1985 00:00,0,(vco),
27/09/1985 00:00,0,(vco),
28/09/1985 00:00,0,(vco),
29/09/1985 00:00,0,(vco),
30/09/1985 00:00,0,(vco),
01/10/1985 00:00,0,(vco),
02/10/1985 00:00,0,(vco),
03/10/1985 00:00,0,(vco),
04/10/1985 00:00,0,(vco),
05/10/1985 00:00,0,(vco),
06/10/1985 00:00,0,(vco),
07/10/1985 00:00,0,(vco),
08/10/1985 00:00,0,(vco),
09/10/1985 00:00,0,(vco),
10/10/1985 00:00,0,(vco),
11/10/1985 00:00,0,(vco),
12/10/1985 00:00,0,(vco),
13/10/1985 00:00,0,(vco),
14/10/1985 00:00,0,(vco),
15/10/1985 00:00,0,(vco),
16/10/1985 00:00,0,(vco),
17/10/1985 00:00,0,(vco),
18/10/1985 00:00,0,(vco),
19/10/1985 00:00,0,(vco),
20/10/1985 00:00,0,(vco),
21/10/1985 00:00,0,(vco),
22/10/1985 00:00,0,(vco),
23/10/1985 00:00,0,(vco),
24/10/1985 00:00,0,(vco),
25/10/1985 00:00,0,(vco),
26/10/1985 00:00,0,(vco),
27/10/1985 00:00,0,(vco),
28/10/1985 00:00,0,(vco),
29/10/1985 00:00,0,(vco),
30/10/1985 00:00,0,(vco),
31/10/1985 00:00,0,(vco),
01/11/1985 00:00,0,(vco),
02/11/1985 00:00,0,(vco),
03/11/1985 00:00,0,(vco),
04/11/1985 00:00,0,(vco),
05/11/1985 00:00,0,(vco),
06/11/1985 00:00,0,(vco),
07/11/1985 00:00,0,(vco),
08/11/1985 00:00,0,(vco),
09/11/1985 00:00,0,(vco),
10/11/1985 00:00,0,(vco),
11/11/1985 00:00,0,(vco),
12/11/1985 00:00,0,(vco),
13/11/1985 00:00,0,(vco),
14/11/1985 00:00,0,(vco),
15/11/1985 00:00,0,(vco),
16/11/1985 00:00,0,(vco),
17/11/1985 00:00,0,(vco),
18/11/1985 00:00,0,(vco),
19/11/1985 00:00,0,(vco),
20/11/1985 00:00,0,(vco),
21/11/1985 00:00,0,(vco),
22/11/1985 00:00,0,(vco),
23/11/1985 00:00,0,(vco),
24/11/1985 00:00,0,(vco),
25/11/1985 00:00,0,(vco),
26/11/1985 00:00,0,(vco),
27/11/1985 00:00,0,(vco),
28/11/1985 00:00,0,(vco),
29/11/1985 00:00,0,(vco),
30/11/1985 00:00,0,(vco),
01/12/1985 00:00,0,(vco),
02/12/1985 00:00,0,(vco),
03/12/1985 00:00,0,(vco),
04/12/1985 00:00,0,(vco),
05/12/1985 00:00,0,(vco),
06/12/1985 00:00,0.01,(vco),
07/12/1985 00:00,0.01,(vco),
08/12/1985 00:00,0.01,(vco),
09/12/1985 00:00,0.01,(vco),
10/12/1985 00:00,0.01,(vco),
11/12/1985 00:00,0.01,(vco),
12/12/1985 00:00,0.02,(vco),
13/12/1985 00:00,0.02,(vco),
14/12/1985 00:00,0.04,(vco),
15/12/1985 00:00,0.04,(vco),
16/12/1985 00:00,0.06,(vco),
17/12/1985 00:00,0.06,(vco),
18/12/1985 00:00,0.06,(vco),
19/12/1985 00:00,0.06,(vco),
20/12/1985 00:00,0.06,(vco),
21/12/1985 00:00,0.06,(vco),
22/12/1985 00:00,0.08,(vco),
23/12/1985 00:00,0.13,(vco),
24/12/1985 00:00,0.27,(vco),
25/12/1985 00:00,2.6,(vco),
26/12/1985 00:00,3.51,(vco),
27/12/1985 00:00,3.04,(vco),
28/12/1985 00:00,4.02,(vco),
29/12/1985 00:00,3.19,(vco),
30/12/1985 00:00,2.47,(vco),
31/12/1985 00:00,1.84,(vco),
01/01/1986 00:00,2.08,(vco),
02/01/1986 00:00,5.33,(vco),
03/01/1986 00:00,5.75,(vco),
04/01/1986 00:00,4.37,(vco),
05/01/1986 00:00,4.02,(vco),
06/01/1986 00:00,4.19,(vco),
07/01/1986 00:00,12.6,(vco),
08/01/1986 00:00,18.22,(vco),
09/01/1986 00:00,10.77,(vco),
10/01/1986 00:00,7.32,(vco),
11/01/1986 00:00,5.75,(vco),
12/01/1986 00:00,5.13,(vco),
13/01/1986 00:00,4.37,(vco),
14/01/1986 00:00,4.02,(vco),
15/01/1986 00:00,3.67,(vco),
16/01/1986 00:00,3.51,(vco),
17/01/1986 00:00,3.04,(vco),
18/01/1986 00:00,2.75,(vco),
19/01/1986 00:00,2.6,(vco),
20/01/1986 00:00,2.47,(vco),
21/01/1986 00:00,2.47,(vco),
22/01/1986 00:00,2.33,(vco),
23/01/1986 00:00,2.33,(vco),
24/01/1986 00:00,2.2,(vco),
25/01/1986 00:00,2.08,(vco),
26/01/1986 00:00,1.96,(vco),
27/01/1986 00:00,1.73,(vco),
28/01/1986 00:00,1.62,(vco),
29/01/1986 00:00,1.73,(vco),
30/01/1986 00:00,3.67,(vco),
31/01/1986 00:00,4.37,(vco),
01/02/1986 00:00,3.35,(vco),
02/02/1986 00:00,2.6,(vco),
03/02/1986 00:00,2.47,(vco),
04/02/1986 00:00,2.75,(vco),
05/02/1986 00:00,3.19,(vco),
06/02/1986 00:00,2.75,(vco),
07/02/1986 00:00,3.35,(vco),
08/02/1986 00:00,7.81,(vco),
09/02/1986 00:00,5.33,(vco),
10/02/1986 00:00,4.19,(vco),
11/02/1986 00:00,3.84,(vco),
12/02/1986 00:00,3.84,(vco),
13/02/1986 00:00,12.6,(vco),
14/02/1986 00:00,31.7,(vco),
15/02/1986 00:00,17.08,(vco),
16/02/1986 00:00,45.31,(vco),
17/02/1986 00:00,40.49,(vco),
18/02/1986 00:00,27.25,(vco),
19/02/1986 00:00,17.84,(vco),
20/02/1986 00:00,65.92,(vco),
21/02/1986 00:00,91.49,(vco),
22/02/1986 00:00,24.93,(vco),
23/02/1986 00:00,15.99,(vco),
24/02/1986 00:00,17.84,(vco),
25/02/1986 00:00,13.91,(vco),
26/02/1986 00:00,10.77,(vco),
27/02/1986 00:00,9.36,(vco),
28/02/1986 00:00,8.31,(vco),
01/03/1986 00:00,7.56,(vco),
02/03/1986 00:00,7.08,(vco),
03/03/1986 00:00,7.56,(vco),
04/03/1986 00:00,11.98,(vco),
05/03/1986 00:00,8.31,(vco),
06/03/1986 00:00,6.62,(vco),
07/03/1986 00:00,5.75,(vco),
08/03/1986 00:00,5.33,(vco),
09/03/1986 00:00,4.94,(vco),
10/03/1986 00:00,4.56,(vco),
11/03/1986 00:00,4.19,(vco),
12/03/1986 00:00,4.02,(vco),
13/03/1986 00:00,4.37,(vco),
14/03/1986 00:00,4.56,(vco),
15/03/1986 00:00,4.02,(vco),
16/03/1986 00:00,3.84,(vco),
17/03/1986 00:00,3.51,(vco),
18/03/1986 00:00,3.35,(vco),
19/03/1986 00:00,3.19,(vco),
20/03/1986 00:00,3.04,(vco),
21/03/1986 00:00,2.89,(vco),
22/03/1986 00:00,2.6,(vco),
23/03/1986 00:00,2.47,(vco),
24/03/1986 00:00,2.33,(vco),
25/03/1986 00:00,2.2,(vco),
26/03/1986 00:00,2.2,(vco),
27/03/1986 00:00,2.2,(vco),
28/03/1986 00:00,2.08,(vco),
29/03/1986 00:00,1.73,(vco),
30/03/1986 00:00,1.51,(vco),
31/03/1986 00:00,1.41,(vco),
01/04/1986 00:00,1.21,(vco),
02/04/1986 00:00,1.12,(vco),
03/04/1986 00:00,1.03,(vco),
04/04/1986 00:00,0.95,(vco),
05/04/1986 00:00,1.03,(vco),
06/04/1986 00:00,1.21,(vco),
07/04/1986 00:00,1.84,(vco),
08/04/1986 00:00,1.51,(vco),
09/04/1986 00:00,1.21,(vco),
10/04/1986 00:00,1.03,(vco),
11/04/1986 00:00,1.03,(vco),
12/04/1986 00:00,0.95,(vco),
13/04/1986 00:00,0.95,(vco),
14/04/1986 00:00,0.87,(vco),
15/04/1986 00:00,0.79,(vco),
16/04/1986 00:00,0.72,(vco),
17/04/1986 00:00,0.79,(vco),
18/04/1986 00:00,0.87,(vco),
19/04/1986 00:00,0.72,(vco),
20/04/1986 00:00,0.65,(vco),
21/04/1986 00:00,0.52,(vco),
22/04/1986 00:00,0.72,(vco),
23/04/1986 00:00,1.21,(vco),
24/04/1986 00:00,1.21,(vco),
25/04/1986 00:00,1.41,(vco),
26/04/1986 00:00,1.51,(vco),
27/04/1986 00:00,1.41,(vco),
28/04/1986 00:00,1.21,(vco),
29/04/1986 00:00,0.87,(vco),
30/04/1986 00:00,0.65,(vco),
01/05/1986 00:00,0.46,(vco),
02/05/1986 00:00,0.31,(vco),
03/05/1986 00:00,0.23,(vco),
04/05/1986 00:00,0.19,(vco),
05/05/1986 00:00,0.23,(vco),
06/05/1986 00:00,0.65,(vco),
07/05/1986 00:00,0.95,(vco),
08/05/1986 00:00,0.65,(vco),
09/05/1986 00:00,0.46,(vco),
10/05/1986 00:00,0.36,(vco),
11/05/1986 00:00,0.36,(vco),
12/05/1986 00:00,0.36,(vco),
13/05/1986 00:00,0.36,(vco),
14/05/1986 00:00,0.31,(vco),
15/05/1986 00:00,0.31,(vco),
16/05/1986 00:00,0.27,(vco),
17/05/1986 00:00,0.27,(vco),
18/05/1986 00:00,0.27,(vco),
19/05/1986 00:00,0.23,(vco),
20/05/1986 00:00,0.23,(vco),
21/05/1986 00:00,0.19,(vco),
22/05/1986 00:00,0.19,(vco),
23/05/1986 00:00,0.16,(vco),
24/05/1986 00:00,0.16,(vco),
25/05/1986 00:00,0.13,(vco),
26/05/1986 00:00,0.13,(vco),
27/05/1986 00:00,0.1,(vco),
28/05/1986 00:00,0.08,(vco),
29/05/1986 00:00,0.06,(vco),
30/05/1986 00:00,0.04,(vco),
31/05/1986 00:00,0.04,(vco),
01/06/1986 00:00,0.02,(vco),
02/06/1986 00:00,0.02,(vco),
03/06/1986 00:00,0.01,(vco),
04/06/1986 00:00,0.01,(vco),
05/06/1986 00:00,0.01,(vco),
06/06/1986 00:00,0.01,(vco),
07/06/1986 00:00,0,(vco),
08/06/1986 00:00,0,(vco),
09/06/1986 00:00,0,(vco),
10/06/1986 00:00,0,(vco),
11/06/1986 00:00,0,(vco),
12/06/1986 00:00,0,(vco),
13/06/1986 00:00,0,(vco),
14/06/1986 00:00,0,(vco),
15/06/1986 00:00,0,(vco),
16/06/1986 00:00,0,(vco),
17/06/1986 00:00,0,(vco),
18/06/1986 00:00,0,(vco),
19/06/1986 00:00,0,(vco),
20/06/1986 00:00,0,(vco),
21/06/1986 00:00,0,(vco),
22/06/1986 00:00,0,(vco),
23/06/1986 00:00,0,(vco),
24/06/1986 00:00,0,(vco),
25/06/1986 00:00,0,(vco),
26/06/1986 00:00,0,(vco),
27/06/1986 00:00,0,(vco),
28/06/1986 00:00,0,(vco),
29/06/1986 00:00,0,(vco),
30/06/1986 00:00,0,(vco),
01/07/1986 00:00,0,(vco),
02/07/1986 00:00,0,(vco),
03/07/1986 00:00,0,(vco),
04/07/1986 00:00,0,(vco),
05/07/1986 00:00,0,(vco),
06/07/1986 00:00,0,(vco),
07/07/1986 00:00,0,(vco),
08/07/1986 00:00,0,(vco),
09/07/1986 00:00,0,(vco),
10/07/1986 00:00,0,(vco),
11/07/1986 00:00,0,(vco),
12/07/1986 00:00,0,(vco),
13/07/1986 00:00,0,(vco),
14/07/1986 00:00,0,(vco),
15/07/1986 00:00,0,(vco),
16/07/1986 00:00,0,(vco),
17/07/1986 00:00,0,(vco),
18/07/1986 00:00,0,(vco),
19/07/1986 00:00,0,(vco),
20/07/1986 00:00,0,(vco),
21/07/1986 00:00,0,(vco),
22/07/1986 00:00,0,(vco),
23/07/1986 00:00,0,(vco),
24/07/1986 00:00,0,(vco),
25/07/1986 00:00,0,(vco),
26/07/1986 00:00,0,(vco),
27/07/1986 00:00,0,(vco),
28/07/1986 00:00,0,(vco),
29/07/1986 00:00,0,(vco),
30/07/1986 00:00,0,(vco),
31/07/1986 00:00,0,(vco),
01/08/1986 00:00,0,(vco),
02/08/1986 00:00,0,(vco),
03/08/1986 00:00,0,(vco),
04/08/1986 00:00,0,(vco),
05/08/1986 00:00,0,(vco),
06/08/1986 00:00,0,(vco),
07/08/1986 00:00,0,(vco),
08/08/1986 00:00,0,(vco),
09/08/1986 00:00,0,(vco),
10/08/1986 00:00,0,(vco),
11/08/1986 00:00,0,(vco),
12/08/1986 00:00,0,(vco),
13/08/1986 00:00,0,(vco),
14/08/1986 00:00,0,(vco),
15/08/1986 00:00,0,(vco),
16/08/1986 00:00,0,(vco),
17/08/1986 00:00,0,(vco),
18/08/1986 00:00,0,(vco),
19/08/1986 00:00,0,(vco),
20/08/1986 00:00,0,(vco),
21/08/1986 00:00,0,(vco),
22/08/1986 00:00,0,(vco),
23/08/1986 00:00,0,(vco),
24/08/1986 00:00,0,(vco),
25/08/1986 00:00,0,(vco),
26/08/1986 00:00,0,(vco),
27/08/1986 00:00,0,(vco),
28/08/1986 00:00,0,(vco),
29/08/1986 00:00,0,(vco),
30/08/1986 00:00,0,(vco),
31/08/1986 00:00,0,(vco),
01/09/1986 00:00,0,(vco),
02/09/1986 00:00,0,(vco),
03/09/1986 00:00,0,(vco),
04/09/1986 00:00,0,(vco),
05/09/1986 00:00,0,(vco),
06/09/1986 00:00,0,(vco),
07/09/1986 00:00,0,(vco),
08/09/1986 00:00,0,(vco),
09/09/1986 00:00,0,(vco),
10/09/1986 00:00,0,(vco),
11/09/1986 00:00,0,(vco),
12/09/1986 00:00,0,(vco),
13/09/1986 00:00,0,(vco),
14/09/1986 00:00,0,(vco),
15/09/1986 00:00,0,(vco),
16/09/1986 00:00,0.31,(vco),
17/09/1986 00:00,0,(vco),
18/09/1986 00:00,0,(vco),
19/09/1986 00:00,0,(vco),
20/09/1986 00:00,0,(vco),
21/09/1986 00:00,0,(vco),
22/09/1986 00:00,0,(vco),
23/09/1986 00:00,0,(vco),
24/09/1986 00:00,0,(vco),
25/09/1986 00:00,0,(vco),
26/09/1986 00:00,0,(vco),
27/09/1986 00:00,0,(vco),
28/09/1986 00:00,0,(vco),
29/09/1986 00:00,0,(vco),
30/09/1986 00:00,0,(vco),
01/10/1986 00:00,0,(vco),
02/10/1986 00:00,0,(vco),
03/10/1986 00:00,0,(vco),
04/10/1986 00:00,0,(vco),
05/10/1986 00:00,0,(vco),
06/10/1986 00:00,0,(vco),
07/10/1986 00:00,0,(vco),
08/10/1986 00:00,0,(vco),
09/10/1986 00:00,0,(vco),
10/10/1986 00:00,0,(vco),
11/10/1986 00:00,0,(vco),
12/10/1986 00:00,0,(vco),
13/10/1986 00:00,0,(vco),
14/10/1986 00:00,0,(vco),
15/10/1986 00:00,0,(vco),
16/10/1986 00:00,0,(vco),
17/10/1986 00:00,0,(vco),
18/10/1986 00:00,0,(vco),
19/10/1986 00:00,0,(vco),
20/10/1986 00:00,0,(vco),
21/10/1986 00:00,0,(vco),
22/10/1986 00:00,0,(vco),
23/10/1986 00:00,0,(vco),
24/10/1986 00:00,0,(vco),
25/10/1986 00:00,0,(vco),
26/10/1986 00:00,0,(vco),
27/10/1986 00:00,0,(vco),
28/10/1986 00:00,0,(vco),
29/10/1986 00:00,0,(vco),
30/10/1986 00:00,0,(vco),
31/10/1986 00:00,0,(vco),
01/11/1986 00:00,0,(vco),
02/11/1986 00:00,0,(vco),
03/11/1986 00:00,0,(vco),
04/11/1986 00:00,0,(vco),
05/11/1986 00:00,0,(vco),
06/11/1986 00:00,0,(vco),
07/11/1986 00:00,0,(vco),
08/11/1986 00:00,0,(vco),
09/11/1986 00:00,0,(vco),
10/11/1986 00:00,0,(vco),
11/11/1986 00:00,0,(vco),
12/11/1986 00:00,0,(vco),
13/11/1986 00:00,0,(vco),
14/11/1986 00:00,0.61,(vco),
15/11/1986 00:00,1.66,(vco),
16/11/1986 00:00,1.3,(vco),
17/11/1986 00:00,0.88,(vco),
18/11/1986 00:00,0.39,(vco),
19/11/1986 00:00,0.22,(vco),
20/11/1986 00:00,0.17,(vco),
21/11/1986 00:00,0.13,(vco),
22/11/1986 00:00,0.09,(vco),
23/11/1986 00:00,0.09,(vco),
24/11/1986 00:00,0.09,(vco),
25/11/1986 00:00,0.06,(vco),
26/11/1986 00:00,0.04,(vco),
27/11/1986 00:00,0.04,(vco),
28/11/1986 00:00,0.02,(vco),
29/11/1986 00:00,0.01,(vco),
30/11/1986 00:00,0.01,(vco),
01/12/1986 00:00,0.01,(vco),
02/12/1986 00:00,0.01,(vco),
03/12/1986 00:00,0.01,(vco),
04/12/1986 00:00,0,(vco),
05/12/1986 00:00,0,(vco),
06/12/1986 00:00,0,(vco),
07/12/1986 00:00,0,(vco),
08/12/1986 00:00,0.01,(vco),
09/12/1986 00:00,0.02,(vco),
10/12/1986 00:00,0.04,(vco),
11/12/1986 00:00,0.06,(vco),
12/12/1986 00:00,0.09,(vco),
13/12/1986 00:00,0.22,(vco),
14/12/1986 00:00,3.88,(vco),
15/12/1986 00:00,2.83,(vco),
16/12/1986 00:00,1.93,(vco),
17/12/1986 00:00,1.19,(vco),
18/12/1986 00:00,0.7,(vco),
19/12/1986 00:00,0.61,(vco),
20/12/1986 00:00,0.54,(vco),
21/12/1986 00:00,0.54,(vco),
22/12/1986 00:00,0.46,(vco),
23/12/1986 00:00,0.39,(vco),
24/12/1986 00:00,0.33,(vco),
25/12/1986 00:00,0.27,(vco),
26/12/1986 00:00,0.22,(vco),
27/12/1986 00:00,0.17,(vco),
28/12/1986 00:00,0.17,(vco),
29/12/1986 00:00,0.17,(vco),
30/12/1986 00:00,0.17,(vco),
31/12/1986 00:00,0.17,(vco),
01/01/1987 00:00,0.17,(vco),
02/01/1987 00:00,0.17,(vco),
03/01/1987 00:00,0.17,(vco),
04/01/1987 00:00,0.17,(vco),
05/01/1987 00:00,0.17,(vco),
06/01/1987 00:00,0.17,(vco),
07/01/1987 00:00,0.17,(vco),
08/01/1987 00:00,0.13,(vco),
09/01/1987 00:00,0.13,(vco),
10/01/1987 00:00,8.47,(vco),
11/01/1987 00:00,6.44,(vco),
12/01/1987 00:00,11.99,(vco),
13/01/1987 00:00,13.62,(vco),
14/01/1987 00:00,10.16,(vco),
15/01/1987 00:00,7.94,(vco),
16/01/1987 00:00,6.68,(vco),
17/01/1987 00:00,5.09,(vco),
18/01/1987 00:00,4.27,(vco),
19/01/1987 00:00,3.7,(vco),
20/01/1987 00:00,3.34,(vco),
21/01/1987 00:00,2.99,(vco),
22/01/1987 00:00,2.51,(vco),
23/01/1987 00:00,2.21,(vco),
24/01/1987 00:00,2.21,(vco),
25/01/1987 00:00,2.36,(vco),
26/01/1987 00:00,7.17,(vco),
27/01/1987 00:00,25.34,(vco),
28/01/1987 00:00,20.26,(vco),
29/01/1987 00:00,31.43,(vco),
30/01/1987 00:00,39.21,(vco),
31/01/1987 00:00,38.12,(vco),
01/02/1987 00:00,19.46,(vco),
02/02/1987 00:00,66.45,(vco),
03/02/1987 00:00,24.9,(vco),
04/02/1987 00:00,14.64,(vco),
05/02/1987 00:00,11.67,(vco),
06/02/1987 00:00,10.16,(vco),
07/02/1987 00:00,9.58,(vco),
08/02/1987 00:00,9.02,(vco),
09/02/1987 00:00,8.47,(vco),
10/02/1987 00:00,10.75,(vco),
11/02/1987 00:00,47.75,(vco),
12/02/1987 00:00,22.31,(vco),
13/02/1987 00:00,18.68,(vco),
14/02/1987 00:00,16.79,(vco),
15/02/1987 00:00,11.67,(vco),
